datapoint,description,source
security_id,Unique security identifier used across all MSCI Equity Indexes.,methbooks/mock_universe.py
weight,Security weight in the index; sums to 1 across the universe.,methbooks/mock_universe.py
fif,Foreign Inclusion Factor reflecting the proportion of shares available to foreign investors.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix I: PAF Formulas and Definitions"""
dif,Domestic Inclusion Factor reflecting investability restrictions for domestic investors.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix I: PAF Formulas and Definitions"""
nos,Number of shares outstanding used in MSCI Indexes for market cap calculation.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix I: PAF Formulas and Definitions"""
closing_price,Closing market price of the security on the ex-date used in PAF calculations.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix I: PAF Formulas and Definitions"""
full_market_cap,Full (total) market capitalization of the security.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.8.1 Treatment when spun-off trades on ex-date"""
float_adj_market_cap,Free float-adjusted market capitalization (NOS * FIF * closing_price).,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.2.3 Implementation timing"""
size_segment,MSCI size segment classification determining NOS implementation thresholds.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""4.2 Implementation Thresholds"""
constraint_factor,Constraint Factor used as a component of constituent weighting in Capped Weighted and Non-Market Cap Weighted indexes.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.7.1 GLOSSARY OF TERMS"""
variable_weighting_factor,Variable Weighting Factor used in Non-Market Cap Weighted indexes to offset market cap changes from corporate event implementations.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.7.1 GLOSSARY OF TERMS"""
country_of_classification,MSCI country of classification of the security determining country-specific event treatment rules.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.1.4 Country Specifics"""
is_suspended,Flag indicating whether the security is currently suspended from trading.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.1 Suspensions"""
is_technical_suspension,Flag indicating whether a suspension is technical (event-free reopening expected).,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.1 Suspensions"""
consecutive_suspension_days,Number of consecutive Monday-to-Friday business days the security has been suspended.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""5.1.1 Prolonged suspension"""
is_index_constituent,Flag indicating whether the security is a constituent of the relevant MSCI Equity Index.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.1.1 Implementation timing"""
is_parent_index_constituent,Flag indicating whether the security is a constituent of the Parent Index for Capped Weighted or Non-Market Cap Weighted indexes.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""2.7 M&A treatment in capped weighted and non-market capitalization weighted indexes"""
is_derived_index_constituent,Flag indicating whether the security is a constituent of a Derived Index.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix VIII: Policy Regarding Trading Suspensions in the MSCI Derived Indexes during the Index Reviews"""
interim_size_segment_cutoff,Interim Market Size-Segment Cutoff used as reference for IPO early inclusion size thresholds.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""6 IPOs and Other Early Inclusions"""
is_stock_connect_ashare,Flag indicating whether the security is a China A-Share traded via Stock Connect.,"meth-pipeline/MSCI_Corporate_Events_Methodology_20260210/2026-04-23T13-31-41Z/input/markdown.md section ""Appendix VII: Implementation for stock connect A-Share securities"""
