datapoint,description,source
security_id,Unique security identifier.,methbooks/mock_universe.py
weight,Index weight from base universe normalised to sum to 1.,methbooks/mock_universe.py
country_of_classification,Country of classification per GIMI; determines reporting currency and share-count methodology.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.1.3 Currency and Frequency
gics_industry_group,GICS Industry Group code; controls which per-share figures are published.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.1 and 1.2.3
number_of_shares_outstanding,Total shares at company level at date of results; options/warrants/convertibles excluded; treasury shares excluded.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.1.1 Number of Shares
average_shares_outstanding,Average shares outstanding over the reporting period; used for EPS CEPS SPS in US Canada UK Ireland.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.1.1 Number of Shares
consolidation_basis,Basis on which fundamental data is reported; consolidated by default.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.1.2 Consolidation
trailing_12m_earnings,Net income from continuing operations available to all equity shareholders excluding extraordinary items.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.2 Earnings Per Share
trailing_12m_earnings_per_share,Trailing 12-month EPS; used as numerator in ROE calculation.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.2 Return on Equity
annualized_dps,Annualized dividend per share; gross before withholding tax.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.4 Dividends Per Share
book_value_per_share,Shareholders equity at latest period end excluding minority interest and treasury shares.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.5 Book Value Per Share
financial_period_end_date,End date of the company most recent reported financial period.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2 Historical Per Share Data Calculations
calculation_date,Date on which per-share and ratio calculations are performed.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2 Historical Per Share Data Calculations
earnings_period_date,Reporting period end date for trailing earnings; used in ROE date-gap check.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.2 Return on Equity
book_value_period_date,Reporting period end date for book value; must not be newer than earnings_period_date for ROE.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.2 Return on Equity
eps1_consensus_forecast,Consensus analysts EPS estimate for the current fiscal year from Thomson I/B/E/S.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.3 Forecasted Per Share Data
eps2_consensus_forecast,Consensus analysts EPS estimate for the next fiscal year from Thomson I/B/E/S.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.3 Forecasted Per Share Data
months_to_fiscal_year_end,Number of months remaining before the current fiscal year end used in EPS12F and EPS12B formulas.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.3 Forecasted Per Share Data
eps0_last_fiscal_year_eps,EPS from the last fully reported fiscal year used as EPS0 in EPS12B calculation.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.3 Forecasted Per Share Data
eps12f,12-month forward EPS blended from current-year and next-year consensus forecasts.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.3 Forecasted Per Share Data
eps12b,12-month backward EPS blended from last reported fiscal EPS and current-year consensus.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.3 Forecasted Per Share Data
egrlf_value,Long-term forward EPS growth rate; suppressed when outlier with single contributor.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.6 Long-Term Forward Earnings Growth Rate
egrlf_contributor_count,Number of analyst contributors to the EGRLF consensus estimate.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.6 Long-Term Forward Earnings Growth Rate
five_year_eps_history,List of up to 5 annual fiscal year-end EPS values used for EGRO and EVAR calculations.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.1 and 2.2.7
five_year_sps_history,List of up to 5 annual fiscal year-end SPS values used for SGRO calculation.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 2.2.1 Long-Term Historical Growth Trends
price_adjustment_factor,Price adjustment factor applied at the ex-date of a capital structure event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.1 Nominal Changes in Capital Structure
per_share_fundamental_data,Generic per-share fundamental data value adjusted by PAF for nominal and combined capital structure events.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.1 Nominal Changes in Capital Structure
country_cumulative_inflation_3yr,Cumulative consumer price inflation for the country over the most recent 3-year period.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 6 Hyperinflationary Economies
property_revaluation_gain_loss,Gain or loss from revaluation of investment property for Real Estate companies GICS Sector 60.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section Appendix I MSCI Treatment of IFRS
cash_distributions_last_12m,Sum of declared regular cash distributions over the latest 12-month period.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.4 Dividends Per Share
cash_distributions_last_6m,Sum of declared regular cash distributions over the latest 6-month period; used when frequency changes.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.4 Dividends Per Share
prior_annualized_dps,Previous annualized DPS; used as floor when frequency change results in lower 6m annualization.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.4 Dividends Per Share
payment_frequency,Number of dividend payments per year; used to annualize latest distribution for US and Canada.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 1.2.4 Dividends Per Share
shares_outstanding_pre_event,Total shares outstanding before the capital structure event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.2 Real Changes in Capital Structure
shares_outstanding_post_event,Total shares outstanding after the capital structure event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.2 Real Changes in Capital Structure
shares_issued,Number of new shares issued in a real capital structure event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.2 Real Changes in Capital Structure
issue_price,Issue price per share in a real capital structure event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.2 Real Changes in Capital Structure
latest_bvps,Latest reported book value per share before a real capital structure event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.2 Real Changes in Capital Structure
market_cap_pre_event,Full market capitalisation before the business structure change event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.4 Changes in Business Structure
market_cap_post_event,Full market capitalisation after the business structure change event.,methbooks/data/markdown/MSCI_Fundamental_Data_Methodology_20240625.md section 4.4 Changes in Business Structure
