datapoint,description,source
security_id,Random 6-character security identifier.,methbooks/mock_universe.py
weight,Initial weight from base universe normalised to sum to 1.,methbooks/mock_universe.py
entity_type,Legal and structural category of the entity for GICS eligibility determination.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 2: Companies Eligible for GICS Classification"
is_equity_issuer,True if the entity has issued equity securities.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 2: Companies Eligible for GICS Classification"
is_subsidiary_with_separate_financials,True if the entity is a subsidiary that files separate financials to a government reporting agency.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 2: Companies Eligible for GICS Classification"
primary_activity_revenue_pct,Revenue fraction of the single largest business activity as a share of total revenues.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.1: Classification by revenue and earnings"
primary_activity_earnings_pct,Earnings fraction of the single largest business activity as a share of total earnings.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.1: Classification by revenue and earnings"
num_distinct_active_sectors,Count of distinct GICS Sectors in which the company has material business activity.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.1: Classification by revenue and earnings"
qualitative_classification_flag,True when none of the quantitative revenue or earnings thresholds are met.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.1: Classification by revenue and earnings"
is_tracking_stock,True if the security is a tracking stock issued by a parent company.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.2: Propagation of GICS from company level to security level"
underlying_business_gics_sub_industry_code,8-digit GICS Sub-Industry code reflecting the underlying business activity tracked by a tracking stock.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.2: Propagation of GICS from company level to security level"
gics_sub_industry_code,Current 8-digit GICS Sub-Industry code assigned to the company or security.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 1.1: Overview of GICS"
current_gics_sub_industry_code,Most recently confirmed 8-digit GICS Sub-Industry code before any pending reclassification.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 3.1: Classification by revenue and earnings"
has_significant_restructuring,True when the company has undergone a significant corporate restructuring.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 4: Review of GICS Classification"
has_new_annual_report,True when a new annual report has become available.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 4: Review of GICS Classification"
revenue_trend_flag,True when the observed change in revenue by activity is judged to be a temporary fluctuation.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 4: Review of GICS Classification"
company_id,Internal identifier grouping all securities issued by the same company.,methbooks/mock_universe.py
fi_entity_type,Entity type for fixed income GICS eligibility.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.1: Fixed income universe eligible for classification"
has_issued_corporate_bonds,True if the entity has issued corporate bonds.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.1: Fixed income universe eligible for classification"
has_issued_equity,True if the corporate bond issuer has also issued equity securities.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.1.1: Classification of a company that has issued both equity and corporate bonds"
parent_gics_sub_industry_code,8-digit GICS Sub-Industry code of the bond issuer's parent or ultimate parent company as recorded in GICS Direct.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.1.2: Classification of a company that has issued only corporate bonds"
is_spv_or_captive_finance,True if the corporate bond issuer is a special purpose vehicle or captive finance vehicle.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.1.2: Classification of a company that has issued only corporate bonds"
related_entity_gics_sub_industry_code,8-digit GICS Sub-Industry code of the related entity driving SPV or captive finance vehicle classification.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.1.2: Classification of a company that has issued only corporate bonds"
fi_last_review_date,Date of the most recent GICS classification review for companies with fixed income securities.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.3.1: Ongoing review"
structure_review_change_flag,True when the most recent GICS Structure Review introduced a change to the Sub-Industry definition applicable to this company.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 8.3.2: Impact of GICS structure review"
client_review_requested,True when a client has formally requested a review of the company's GICS classification.,methbooks/data/markdown/MSCI_Global_Industry_Classification_Standard_(GICS®)_Methodology_20250220.md section "Section 4: Review of GICS Classification"
