datapoint,description,source
security_id,Random 6-character security identifier.,methbooks/mock_universe.py
weight,Initial weight from base universe normalised to sum to 1.,methbooks/mock_universe.py
price_per_share,Official exchange closing price per share of the security sourced per Appendix VII.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 1.1.1 Index Market Capitalization
end_of_day_number_of_shares,Number of shares of the security held as of end of day t-1 used for index calculation on day t.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 1.1.1 Index Market Capitalization
inclusion_factor,Composite inclusion factor (FIF/DIF/GIF/VIF/Index Inclusion Factor) applied to the security market cap.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 1.1.1 Index Market Capitalization
price_adjustment_factor,Price Adjustment Factor applied to a security price on the ex-date of a corporate event to preserve historical comparability.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 1.1.1 Index Market Capitalization
fx_rate_vs_usd,WMR Closing Spot Rate of security price currency versus USD at 4PM London time.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix III Exchange Rates
internal_currency_index,Internal Currency Index for the security price currency; equals 1 in normal conditions.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 1.1.1 Index Market Capitalization
gross_dividend_per_share,Gross dividend per share (before withholding tax) used for reinvestment in MSCI Gross DTR Indexes on ex-date.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.1.4.1 Security Daily Gross Return
net_dividend_per_share,Net dividend per share (after maximum withholding tax) used for reinvestment in MSCI Net DTR Indexes on ex-date.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.7.2 Withholding Tax
end_of_day_number_of_shares_ex_date_minus_1,Number of shares on the day preceding the ex-date used to compute the dividend amount to be reinvested.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.2 Corporate Actions
security_traded_flag,Boolean flag indicating whether the security traded on the calculation day.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.2.1 Timing of Reinvestment
ex_date,Ex-date of the distribution on which reinvestment is scheduled.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.8 Definitions
special_dividend_per_share,Special or extraordinary cash dividend per share used to test the 5% PAF trigger.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.2.4 Dividends Resulting in a Reinvestment or in a Price Adjustment
announcement_status,Status of the event announcement (confirmed/provisional/unconfirmed) used to evaluate the PAF trigger.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.2.4 Dividends Resulting in a Reinvestment or in a Price Adjustment
withholding_tax_rate,Maximum withholding tax rate applicable to institutional investors used to compute net dividends.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.7.2 Withholding Tax
stock_dividend_ratio,Ratio of bonus shares issued to existing shares for a stock dividend (bonus/gratis) event.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.2.5 Dividends Resulting in a Price Adjustment Only
country_of_listing,Country where the security is listed; used for country-specific event treatments.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
stock_dividend_shares_received_subject_to_wht,Number of shares received in a Taiwanese stock dividend that are subject to withholding tax.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.7.3 Taiwanese Stock Dividends
par_value_per_share,Par value of each share used to compute Taiwanese stock dividend withholding tax.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.7.3 Taiwanese Stock Dividends
capital_repayment_per_share,Capital repayment amount per share used to apply PAF for extraordinary capital repayments.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.2.5 Dividends Resulting in a Price Adjustment Only
extraordinary_flag,Boolean flag indicating whether a capital repayment is deemed extraordinary versus the company dividend policy or historical cash distributions.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.2.5 Dividends Resulting in a Price Adjustment Only
correction_discovery_date,Date on which a dividend correction or late dividend was discovered.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.4 Corrections
dividend_amount_corrected,Dividend amount applied as a correction within the 12-month window.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.4 Corrections
shares_cum_date,Number of shares outstanding at close of cum-date used for correction and payment-default reinvestments.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.4 Corrections
payment_default_flag,Boolean flag indicating that a previously announced dividend has been declared unpaid.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.5 Payment Default
original_dividend_amount,Original dividend amount previously reinvested that is reversed on payment default.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.5 Payment Default
default_discovery_date,Date on which the payment default was confirmed from at least two data sources.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.5 Payment Default
country_of_incorporation,Country of incorporation used to determine the applicable withholding tax rate.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.7.2 Withholding Tax
index_type_domestic_or_international,Flag identifying whether the index is domestic or international; drives resident vs non-resident WHT selection.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.7.2 Withholding Tax
component_index_level,Published daily level of a component index used to compute a blended index.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 3 Index Calculation for the MSCI Blended Indexes
component_index_weight,Fixed proportion assigned to each component index in a blended index; set at rebalance and sums to 1.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 3 Index Calculation for the MSCI Blended Indexes
calculation_day_of_week,Day of week on which the index is being calculated (used for Sunday intermediary and Sunday-Thursday logic).,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix I Sunday Intermediary Index Calculation
is_sunday_intermediary_index,Boolean flag indicating that the index follows the Sunday intermediary calculation for Monday-Friday methodology.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix I Sunday Intermediary Index Calculation
daily_security_traded_volume,Number of shares of the security traded during the day; used to compute ATVR.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix II Annualized Traded Value Ratio
number_of_security_trading_days,Number of trading days in the month used for the monthly median traded value calculation.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix II Annualized Traded Value Ratio
fif_adjusted_market_cap_month_end,FIF- or DIF-adjusted market capitalisation of the security at month end used as MTVR denominator.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix II Annualized Traded Value Ratio
wmr_closing_spot_rate,WMR Closing Spot Rate taken at 4PM London time used as the standard FX rate for MSCI indexes.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix III Exchange Rates
calculation_date,Date on which the index is being calculated.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix III Exchange Rates
error_impact_bps,Magnitude of a data error expressed in basis points on the affected index.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix XI Index Correction Policy
affected_index_type,Type of index affected by an error (country / World or EM industry group / Frontier Markets region).,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix XI Index Correction Policy
error_discovery_date,Date on which the data error was discovered.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix XI Index Correction Policy
is_sunday_thursday_index,Boolean flag indicating that the index follows the Sunday-to-Thursday trading calendar.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix XII Sunday-Thursday Index Calculation Methodology
dividend_per_share,Dividend per share reinvested in the Sunday-Thursday calendar on Sundays.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix XII Sunday-Thursday Index Calculation Methodology
wmr_closing_spot_rate_friday,WMR Friday Closing Spot Rate carried forward to Sunday in the Sunday-Thursday calendar.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md Appendix XII Sunday-Thursday Index Calculation Methodology
prior_year_dividend_same_period,Previous year dividend amount from the same period used as the estimate when no current-year estimate is available.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
announced_dividend_estimate,Company-announced estimated dividend amount for the current period (Japan).,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
capital_change_adjustment,Adjustment to the prior-year dividend estimate for any capital changes (Korea enhanced methodology).,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
ratified_dividend_per_share,Final ratified dividend amount per share used to reconcile the estimated dividend on reception.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
reception_date,Date on which the ratified dividend amount is received and confirmed from at least two data sources.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
shares_prior_to_exdate,Number of shares effective on the day prior to the ex-date used for Korean estimated dividend reinvestment.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions
redemption_right_flag,Boolean flag indicating a USA poison-pill redemption-right event that triggers a price adjustment.,methbooks/data/markdown/MSCI_Index_Calculation_Methodology.md section 2.3.6 Country Exceptions USA Redemption Right
