datapoint,description,source
security_id,Random 6-character security identifier.,methbooks/mock_universe.py
weight,Initial weight from base universe normalised to sum to 1.,methbooks/mock_universe.py
msci_esg_rating,MSCI ESG Rating on a seven-point scale from AAA (best) to CCC (worst); companies must be BB or above to be eligible.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "2.2.1 ESG Ratings Eligibility"
msci_controversies_score,MSCI Controversies Score on a 0-10 scale (0 = most severe); new candidates require >=3; existing constituents require >=1 at Annual Review.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "2.2.2 Controversies Score Eligibility"
is_current_constituent,True if the security is currently an index constituent; used for ranking priority and the relaxed controversies threshold.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "3.1.1 Updating the Eligible Universe"
industry_adjusted_esg_score,Numeric ESG score (0-10) normalized by industry; used as tiebreaker in sector ranking after ESG Rating and constituent status.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "4.1 MSCI ESG Ratings"
ff_market_cap,Free float-adjusted market capitalization in USD; used for sector coverage calculation and as the final ranking tiebreaker.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "2.3 Index Construction"
gics_sector,GICS sector classification used to group securities for sector-level 50% cumulative ff-mcap coverage targeting.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "2.3 Index Construction"
civilian_firearms_producer_flag,True if the company is classified as Producer of firearms and small arms ammunition for civilian markets (Highly Restrictive CBI screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
civilian_firearms_revenue_pct,Aggregate revenue percentage from production and distribution of firearms or small arms ammunition for civilian use; threshold 5% (Highly Restrictive).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
tobacco_producer_flag,True if the company manufactures tobacco products or grows or processes raw tobacco leaves (Highly Restrictive CBI screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
tobacco_revenue_pct,Aggregate revenue percentage from production distribution retail supply and licensing of tobacco-related products; threshold 5% (Highly Restrictive).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
alcohol_revenue_pct,Revenue percentage from production of alcohol-related products; threshold 10% (Least Restrictive CBI screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
conventional_weapons_revenue_pct,Revenue percentage from production of conventional weapons and components; threshold 10% (Least Restrictive CBI screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
gambling_revenue_pct,Revenue percentage from ownership or operation of gambling-related business activities; threshold 10% (Least Restrictive CBI screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
nuclear_power_revenue_pct,Revenue percentage from ownership or operation of nuclear power plants; threshold 10% (Least Restrictive CBI screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
thermal_coal_mining_revenue_pct,Revenue from thermal coal mining; combined with unconventional_oil_gas_revenue_pct must be below 5% aggregate (Fossil Fuel Extraction screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
unconventional_oil_gas_revenue_pct,Revenue from oil sands shale gas and coal bed methane; combined with thermal_coal_mining_revenue_pct must be below 5% aggregate (Fossil Fuel Extraction screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
thermal_coal_power_revenue_pct,Revenue from thermal coal-based power generation; threshold 5% (Thermal Coal Power screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
palm_oil_revenue_pct,Revenue from production of Palm Oil; threshold 5% (Palm Oil screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
arctic_oil_gas_revenue_pct,Aggregate revenue from arctic oil and gas production north of 66.5 degrees latitude; threshold 5% (Arctic Oil & Gas screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
sector_current_ff_mcap_coverage,Current cumulative free float-adjusted market capitalization coverage of the GICS sector relative to the Parent Index sector; used for intra-review and quarterly addition gating.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "3.2 Quarterly Index Reviews"
is_eligible_section_2_2,Composite eligibility flag indicating the security passes all Section 2.2 criteria (ESG rating Controversies Score all CBI screens); used in event-driven and quarterly addition checks.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "3.3 Ongoing Event-Related Maintenance"
cbi_screen_flag,True if the security is screened out by any controversial business involvement criterion in Section 2.2.3 and Appendix II; used in quarterly deletion check.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "3.1.1 Updating the Eligible Universe"
bisr_controversial_weapons_flag,True if the company has any tie to controversial weapons categories per MSCI BISR assessment (Most Restrictive screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
nuclear_weapons_flag,True if the company is involved in nuclear weapons manufacture or key enabling components (Highly Restrictive screen).,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "Appendix II: Controversial Business Involvement Criteria"
rank,Within-sector rank integer (1 = highest priority) produced by ranking rule; consumed by the selection rule.,methbooks/data/markdown/MSCI_Selection_Indexes_Methodology_20251211.md section "3.1.2 Ranking of Eligible Securities"
